Class Name,Shallow Heap,Retained Heap,
byte[14] @ 0x788839120  java.lang.Long,32,32,
byte[17] @ 0x788839158  java.lang.Integer,40,40,
byte[15] @ 0x788839198  java.lang.Short,32,32,
byte[14] @ 0x7888391d0  java.lang.Byte,32,32,
byte[19] @ 0x788839208  java.lang.Character,40,40,
byte[17] @ 0x788839248  java.lang.Boolean,40,40,
byte[14] @ 0x788839288  java.lang.Void,32,32,
byte[8] @ 0x788839400  typeName,24,24,
byte[11] @ 0x788839430  description,32,32,
byte[9] @ 0x788839468  className,32,32,
byte[12] @ 0x7888394a0  getClassName,32,32,
byte[11] @ 0x788839550  getTypeName,32,32,
byte[14] @ 0x788839678  getDescription,32,32,
byte[12] @ 0x788839ae0  invokeStatic,32,32,
byte[73] @ 0x788839fd8  /Users/sameervhatkar/Study/Projects/JmxDemoApp/out/production/JmxDemoApp/,96,96,
byte[80] @ 0x78883a050  file:///Users/sameervhatkar/Study/Projects/JmxDemoApp/out/production/JmxDemoApp/,96,96,
byte[65] @ 0x78883a470  file:/Applications/IntelliJ%20IDEA.app/Contents/lib/idea_rt.jar!/,88,88,
byte[56] @ 0x78883a528  /Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar,72,72,
byte[46] @ 0x78883a7e0  /Users/sameervhatkar/Study/Projects/JmxDemoApp,64,64,
byte[102] @ 0x78883a840  /Users/sameervhatkar/Library/Java/JavaVirtualMachines/openjdk-22.0.1/Contents/Home/lib/jfr/profile.jfc,120,120,
byte[102] @ 0x78883a8d0  /Users/sameervhatkar/Library/Java/JavaVirtualMachines/openjdk-22.0.1/Contents/Home/lib/jfr/profile.jfc,120,120,
byte[8] @ 0x78883aa20,24,24,
byte[11] @ 0x78883ab00  /dev/random,32,32,
byte[12] @ 0x78883abc8  /dev/urandom,32,32,
byte[5] @ 0x78883aeb0  .....,24,24,
byte[55] @ 0x78883b288  com/intellij/rt/execution/application/AppMainV2$1.class,72,72,
byte[38] @ 0x78883b630  java.util.logging.ConsoleHandler.level,56,56,
byte[4] @ 0x78883b680  INFO,24,24,
byte[42] @ 0x78883b6d0  java.util.logging.ConsoleHandler.formatter,64,64,
byte[33] @ 0x78883b728  java.util.logging.SimpleFormatter,56,56,
byte[38] @ 0x78883b798  java.util.logging.FileHandler.maxLocks,56,56,
byte[3] @ 0x78883b7e8  100,24,24,
byte[8] @ 0x78883b838  handlers,24,24,
